reference_id,category,scope_segment,scope_property_form,scope_lifecycle_stage,role_slug,metric_slug,band_low,band_high,peer_median,value,unit,scenario,source_name,source_type,source_date,as_of_date,confidence,status,proposed_by,derived_from,notes
rkt-pm-mm-garden-stab-physocc,occupancy_benchmark,middle_market,garden,stabilized,property_manager,physical_occupancy,0.935,0.955,0.945,0.945,percent,benchmark,Derived from collections_benchmarks + peer blend (illustrative),internal_record,2026-03-31,2026-03-31,medium,starter,agent:role_kpi_derivation_agent,reference/normalized/collections_benchmarks__southeast_mf.csv,Starter; derived.
rkt-pm-mm-garden-stab-leasedocc,occupancy_benchmark,middle_market,garden,stabilized,property_manager,leased_occupancy,0.955,0.970,0.960,0.960,percent,benchmark,Derived from collections_benchmarks + peer blend (illustrative),internal_record,2026-03-31,2026-03-31,medium,starter,agent:role_kpi_derivation_agent,reference/normalized/collections_benchmarks__southeast_mf.csv,Starter; derived.
rkt-pm-mm-garden-stab-delinq30,occupancy_benchmark,middle_market,garden,stabilized,property_manager,delinquency_rate_30plus,0.015,0.030,0.022,0.022,percent_of_gpr,benchmark,Derived from collections_benchmarks + peer blend (illustrative),internal_record,2026-03-31,2026-03-31,medium,starter,agent:role_kpi_derivation_agent,reference/normalized/collections_benchmarks__southeast_mf.csv,Starter; derived.
rkt-pm-mm-garden-stab-collections,occupancy_benchmark,middle_market,garden,stabilized,property_manager,collections_rate,0.980,0.995,0.988,0.988,percent_of_gpr,benchmark,Derived from collections_benchmarks + peer blend (illustrative),internal_record,2026-03-31,2026-03-31,medium,starter,agent:role_kpi_derivation_agent,reference/normalized/collections_benchmarks__southeast_mf.csv,Starter; derived.
rkt-pm-mm-garden-stab-turnover,occupancy_benchmark,middle_market,garden,stabilized,property_manager,turnover_rate,0.45,0.55,0.50,0.50,percent,benchmark,Derived from collections_benchmarks + peer blend (illustrative),internal_record,2026-03-31,2026-03-31,medium,starter,agent:role_kpi_derivation_agent,reference/normalized/collections_benchmarks__southeast_mf.csv,Starter; derived.
rkt-pm-mm-garden-stab-makeready,occupancy_benchmark,middle_market,garden,stabilized,property_manager,make_ready_days,5,10,7,7,ratio,benchmark,Derived from unit_turn_cost_library target days,internal_record,2026-03-31,2026-03-31,medium,starter,agent:role_kpi_derivation_agent,reference/normalized/unit_turn_cost_library__middle_market.csv,Starter; blended across turn scopes.
rkt-lm-mm-garden-stab-tourconv,occupancy_benchmark,middle_market,garden,stabilized,leasing_manager,tour_conversion,0.22,0.32,0.27,0.27,percent,benchmark,Derived from peer CRM aggregate (illustrative),internal_record,2026-03-31,2026-03-31,low,starter,agent:role_kpi_derivation_agent,overlays/segments/middle_market/service_standards.md,Starter; derived.
rkt-lm-mm-garden-stab-leadresp,occupancy_benchmark,middle_market,garden,stabilized,leasing_manager,lead_response_time,15,60,30,30,ratio,benchmark,Derived from peer CRM aggregate (illustrative),internal_record,2026-03-31,2026-03-31,low,starter,agent:role_kpi_derivation_agent,overlays/segments/middle_market/service_standards.md,Starter minutes-to-respond benchmark.
rkt-lm-mm-garden-stab-renewaloffer,occupancy_benchmark,middle_market,garden,stabilized,leasing_manager,renewal_offer_rate,0.95,1.00,0.98,0.98,percent,benchmark,Derived from segment overlay + peer aggregate (illustrative),internal_record,2026-03-31,2026-03-31,medium,starter,agent:role_kpi_derivation_agent,overlays/segments/middle_market/service_standards.md,Starter; derived.
rkt-lm-mm-garden-stab-renewalaccept,occupancy_benchmark,middle_market,garden,stabilized,leasing_manager,renewal_acceptance_rate,0.50,0.60,0.55,0.55,percent,benchmark,Derived from segment overlay + peer aggregate (illustrative),internal_record,2026-03-31,2026-03-31,medium,starter,agent:role_kpi_derivation_agent,overlays/segments/middle_market/service_standards.md,Starter; derived.
rkt-ms-mm-garden-stab-openwo,occupancy_benchmark,middle_market,garden,stabilized,maintenance_supervisor,open_work_orders,,,15,15,ratio,benchmark,Derived from peer aggregate (illustrative),internal_record,2026-03-31,2026-03-31,low,starter,agent:role_kpi_derivation_agent,overlays/segments/middle_market/service_standards.md,Starter per-200-unit open WO benchmark.
rkt-ms-mm-garden-stab-woaging,occupancy_benchmark,middle_market,garden,stabilized,maintenance_supervisor,work_order_aging,,,72,72,ratio,benchmark,Derived from peer aggregate (illustrative),internal_record,2026-03-31,2026-03-31,low,starter,agent:role_kpi_derivation_agent,overlays/segments/middle_market/service_standards.md,Starter hours-to-close benchmark.
rkt-am-mm-garden-stab-ssnoi,occupancy_benchmark,middle_market,garden,stabilized,asset_manager,same_store_noi_growth,0.030,0.050,0.040,0.040,percent,benchmark,Derived from internal plan aggregate (illustrative),internal_record,2026-03-31,2026-03-31,medium,starter,agent:role_kpi_derivation_agent,reference/normalized/collections_benchmarks__southeast_mf.csv,Starter SS-NOI growth target band.
rkt-am-mm-garden-stab-dscr,occupancy_benchmark,middle_market,garden,stabilized,asset_manager,dscr,1.35,1.60,1.45,1.45,ratio,benchmark,Derived from internal plan aggregate (illustrative),internal_record,2026-03-31,2026-03-31,medium,starter,agent:role_kpi_derivation_agent,reference/normalized/approval_threshold_defaults.csv,Starter DSCR target.
