reference_id,category,scope_market,scope_region,scope_segment,trade_slug,labor_tier,rate_type,value,unit,scenario,source_name,source_type,source_date,as_of_date,confidence,status,proposed_by,notes
lr-charlotte-plumber-journey-hrly,labor_rate,Charlotte,southeast,middle_market,plumber,journeyman,hourly_straight,95,dollars_per_hour,benchmark,Local vendor rate survey (illustrative),local_survey,2026-03-10,2026-02-28,medium,starter,agent:labor_rate_agent,Starter.
lr-charlotte-plumber-apprentice-hrly,labor_rate,Charlotte,southeast,middle_market,plumber,apprentice,hourly_straight,55,dollars_per_hour,benchmark,Local vendor rate survey (illustrative),local_survey,2026-03-10,2026-02-28,medium,starter,agent:labor_rate_agent,Starter.
lr-charlotte-electrician-journey-hrly,labor_rate,Charlotte,southeast,middle_market,electrician,journeyman,hourly_straight,105,dollars_per_hour,benchmark,Local vendor rate survey (illustrative),local_survey,2026-03-10,2026-02-28,medium,starter,agent:labor_rate_agent,Starter.
lr-charlotte-hvac-journey-hrly,labor_rate,Charlotte,southeast,middle_market,hvac_tech,journeyman,hourly_straight,110,dollars_per_hour,benchmark,Local vendor rate survey (illustrative),local_survey,2026-03-10,2026-02-28,medium,starter,agent:labor_rate_agent,Starter.
lr-charlotte-hvac-trip,labor_rate,Charlotte,southeast,middle_market,hvac_tech,journeyman,flat_trip,125,dollars_per_trip,benchmark,Local vendor rate survey (illustrative),local_survey,2026-03-10,2026-02-28,medium,starter,agent:labor_rate_agent,Standard trip charge.
lr-charlotte-painter-hrly,labor_rate,Charlotte,southeast,middle_market,painter,journeyman,hourly_straight,52,dollars_per_hour,benchmark,Local vendor rate survey (illustrative),local_survey,2026-03-10,2026-02-28,medium,starter,agent:labor_rate_agent,Starter.
lr-charlotte-flooring-hrly,labor_rate,Charlotte,southeast,middle_market,flooring_installer,journeyman,hourly_straight,58,dollars_per_hour,benchmark,Local vendor rate survey (illustrative),local_survey,2026-03-10,2026-02-28,medium,starter,agent:labor_rate_agent,Starter.
lr-charlotte-carpenter-hrly,labor_rate,Charlotte,southeast,middle_market,carpenter,journeyman,hourly_straight,65,dollars_per_hour,benchmark,Local vendor rate survey (illustrative),local_survey,2026-03-10,2026-02-28,medium,starter,agent:labor_rate_agent,Starter.
lr-charlotte-general-laborer-hrly,labor_rate,Charlotte,southeast,middle_market,general_laborer,helper,hourly_straight,32,dollars_per_hour,benchmark,Local vendor rate survey (illustrative),local_survey,2026-03-10,2026-02-28,medium,starter,agent:labor_rate_agent,Starter.
lr-charlotte-drywall-hrly,labor_rate,Charlotte,southeast,middle_market,drywall,journeyman,hourly_straight,55,dollars_per_hour,benchmark,Local vendor rate survey (illustrative),local_survey,2026-03-10,2026-02-28,medium,starter,agent:labor_rate_agent,Starter.
lr-charlotte-appliance-trip,labor_rate,Charlotte,southeast,middle_market,appliance_tech,journeyman,flat_trip,110,dollars_per_trip,benchmark,Local vendor rate survey (illustrative),local_survey,2026-03-10,2026-02-28,medium,starter,agent:labor_rate_agent,Starter.
