reference_id,category,scope_region,scope_market,scope_segment,scope_sku_tier,material_slug,material_category,trailing_12mo_change_pct,value,unit,scenario,source_name,source_type,source_date,as_of_date,confidence,status,proposed_by,notes
mc-se-lvp-6mm-mm,material_cost,southeast,,middle_market,middle_market,lvp_flooring_6mm,flooring,3.5,3.35,dollars_per_sf,benchmark,Internal purchasing aggregate (illustrative),internal_record,2026-03-12,2026-02-28,medium,starter,agent:material_cost_agent,LVP 6mm plank middle tier.
mc-se-lvp-5mm-mm,material_cost,southeast,,middle_market,middle_market,lvp_flooring_5mm,flooring,2.8,2.85,dollars_per_sf,benchmark,Internal purchasing aggregate (illustrative),internal_record,2026-03-12,2026-02-28,medium,starter,agent:material_cost_agent,Starter.
mc-se-carpet-poly-mm,material_cost,southeast,,middle_market,middle_market,carpet_polyester_med,flooring,1.2,2.15,dollars_per_sf,benchmark,Internal purchasing aggregate (illustrative),internal_record,2026-03-12,2026-02-28,medium,starter,agent:material_cost_agent,Middle tier polyester carpet.
mc-se-paint-eggshell-mm,material_cost,southeast,,middle_market,middle_market,interior_paint_eggshell,paint,2.0,32.50,dollars_per_gallon,benchmark,Internal purchasing aggregate (illustrative),internal_record,2026-03-12,2026-02-28,medium,starter,agent:material_cost_agent,5-gal pail pricing annualized.
mc-se-range-elec-30-mm,material_cost,southeast,,middle_market,middle_market,appliance_range_electric_30,appliances,5.8,585,dollars_per_each,benchmark,Internal purchasing aggregate (illustrative),internal_record,2026-03-12,2026-02-28,medium,starter,agent:material_cost_agent,30-inch electric range builder-grade mid tier.
mc-se-fridge-18cf-mm,material_cost,southeast,,middle_market,middle_market,appliance_refrigerator_18cf,appliances,4.2,695,dollars_per_each,benchmark,Internal purchasing aggregate (illustrative),internal_record,2026-03-12,2026-02-28,medium,starter,agent:material_cost_agent,18cf top-freezer middle tier.
mc-se-dw-std-mm,material_cost,southeast,,middle_market,middle_market,appliance_dishwasher_std,appliances,3.0,345,dollars_per_each,benchmark,Internal purchasing aggregate (illustrative),internal_record,2026-03-12,2026-02-28,medium,starter,agent:material_cost_agent,Standard dishwasher middle tier.
mc-se-micro-overrange-mm,material_cost,southeast,,middle_market,middle_market,appliance_microwave_overrange,appliances,1.5,265,dollars_per_each,benchmark,Internal purchasing aggregate (illustrative),internal_record,2026-03-12,2026-02-28,medium,starter,agent:material_cost_agent,Over-range microwave middle tier.
mc-se-toilet-128-mm,material_cost,southeast,,middle_market,middle_market,toilet_1_28gpf,plumbing_fixtures,1.8,175,dollars_per_each,benchmark,Internal purchasing aggregate (illustrative),internal_record,2026-03-12,2026-02-28,medium,starter,agent:material_cost_agent,Starter.
mc-se-faucet-kitchen-mm,material_cost,southeast,,middle_market,middle_market,faucet_kitchen_std,plumbing_fixtures,2.5,95,dollars_per_each,benchmark,Internal purchasing aggregate (illustrative),internal_record,2026-03-12,2026-02-28,medium,starter,agent:material_cost_agent,Starter.
mc-se-faucet-lav-mm,material_cost,southeast,,middle_market,middle_market,faucet_lavatory_std,plumbing_fixtures,2.0,58,dollars_per_each,benchmark,Internal purchasing aggregate (illustrative),internal_record,2026-03-12,2026-02-28,medium,starter,agent:material_cost_agent,Starter.
mc-se-roof-shingle-30yr,material_cost,southeast,,middle_market,middle_market,roof_shingle_30yr,roofing,6.4,135,dollars_per_square_roofing,benchmark,Internal purchasing aggregate (illustrative),internal_record,2026-03-12,2026-02-28,medium,starter,agent:material_cost_agent,Per-square (100 SF) asphalt shingle.
mc-se-lumber-2x4x8,material_cost,southeast,,middle_market,builder_grade,lumber_2x4x8_spf,lumber,-2.5,4.25,dollars_per_board_foot,benchmark,Commodity index aggregate (illustrative),commodity_index,2026-03-12,2026-02-28,medium,starter,agent:material_cost_agent,Commodity-driven line item; tracks futures index.
mc-se-drywall-1-2-4x8,material_cost,southeast,,middle_market,middle_market,drywall_1_2_4x8_sheet,drywall,1.2,14.50,dollars_per_each,benchmark,Internal purchasing aggregate (illustrative),internal_record,2026-03-12,2026-02-28,medium,starter,agent:material_cost_agent,1/2 inch 4x8 sheet.
mc-se-hvac-35ton-cond-mm,material_cost,southeast,,middle_market,middle_market,hvac_condenser_3_5ton,hvac_components,4.0,2250,dollars_per_each,benchmark,Internal purchasing aggregate (illustrative),internal_record,2026-03-12,2026-02-28,medium,starter,agent:material_cost_agent,Starter.
