reference_id,category,scope_region,scope_segment,scope_property_form,turn_scope,unit_type_label,included_scope_items,target_make_ready_days,value,unit,scenario,source_name,source_type,source_date,as_of_date,confidence,status,proposed_by,notes
utc-se-mm-garden-light-a1,unit_turn_cost,southeast,middle_market,garden,light,A1,paint_touchup;clean_light,5,785,dollars_per_unit,benchmark,Internal turn cost library (illustrative),internal_record,2026-03-18,2026-02-28,medium,starter,agent:turn_cost_agent,Light turn A1; paint touch-up + light clean.
utc-se-mm-garden-standard-a1,unit_turn_cost,southeast,middle_market,garden,standard,A1,paint_full_unit;clean_light;minor_repairs,8,1285,dollars_per_unit,benchmark,Internal turn cost library (illustrative),internal_record,2026-03-18,2026-02-28,medium,starter,agent:turn_cost_agent,Standard turn A1.
utc-se-mm-garden-heavy-a1,unit_turn_cost,southeast,middle_market,garden,heavy,A1,paint_full_unit;carpet_replace_per_unit;clean_heavy;punch,14,2345,dollars_per_unit,benchmark,Internal turn cost library (illustrative),internal_record,2026-03-18,2026-02-28,medium,starter,agent:turn_cost_agent,Heavy turn A1.
utc-se-mm-garden-classic-a1,unit_turn_cost,southeast,middle_market,garden,classic_reno,A1,paint_full_unit;lvp_replace_unit;countertops_classic;hardware_swap;appliance_range_swap;clean_heavy,28,6950,dollars_per_unit,benchmark,Internal turn cost library (illustrative),internal_record,2026-03-18,2026-02-28,medium,starter,agent:turn_cost_agent,Classic reno A1; LVP + countertops + hardware + appliance.
utc-se-mm-garden-premium-a1,unit_turn_cost,southeast,middle_market,garden,premium_reno,A1,paint_full_unit;lvp_replace_unit;countertops_premium;full_hardware_and_lighting;appliance_full_stainless;bath_vanity_swap;clean_heavy,42,11850,dollars_per_unit,benchmark,Internal turn cost library (illustrative),internal_record,2026-03-18,2026-02-28,medium,starter,agent:turn_cost_agent,Premium reno A1.
utc-se-mm-garden-light-b1,unit_turn_cost,southeast,middle_market,garden,light,B1,paint_touchup;clean_light,5,885,dollars_per_unit,benchmark,Internal turn cost library (illustrative),internal_record,2026-03-18,2026-02-28,medium,starter,agent:turn_cost_agent,Light turn B1.
utc-se-mm-garden-standard-b1,unit_turn_cost,southeast,middle_market,garden,standard,B1,paint_full_unit;clean_light;minor_repairs,8,1485,dollars_per_unit,benchmark,Internal turn cost library (illustrative),internal_record,2026-03-18,2026-02-28,medium,starter,agent:turn_cost_agent,Standard turn B1.
utc-se-mm-garden-heavy-b1,unit_turn_cost,southeast,middle_market,garden,heavy,B1,paint_full_unit;carpet_replace_per_unit;clean_heavy;punch,14,2785,dollars_per_unit,benchmark,Internal turn cost library (illustrative),internal_record,2026-03-18,2026-02-28,medium,starter,agent:turn_cost_agent,Heavy turn B1.
utc-se-mm-garden-classic-b1,unit_turn_cost,southeast,middle_market,garden,classic_reno,B1,paint_full_unit;lvp_replace_unit;countertops_classic;hardware_swap;appliance_range_swap;clean_heavy,28,7950,dollars_per_unit,benchmark,Internal turn cost library (illustrative),internal_record,2026-03-18,2026-02-28,medium,starter,agent:turn_cost_agent,Classic reno B1.
utc-se-mm-garden-premium-b1,unit_turn_cost,southeast,middle_market,garden,premium_reno,B1,paint_full_unit;lvp_replace_unit;countertops_premium;full_hardware_and_lighting;appliance_full_stainless;bath_vanity_swap;clean_heavy,42,13450,dollars_per_unit,benchmark,Internal turn cost library (illustrative),internal_record,2026-03-18,2026-02-28,medium,starter,agent:turn_cost_agent,Premium reno B1.
utc-w-mm-garden-light-a1,unit_turn_cost,west,middle_market,garden,light,A1,paint_touchup;clean_light,5,825,dollars_per_unit,benchmark,Internal turn cost library (illustrative),internal_record,2026-03-18,2026-02-28,medium,starter,agent:turn_cost_agent,Light turn A1 west.
utc-w-mm-garden-standard-a1,unit_turn_cost,west,middle_market,garden,standard,A1,paint_full_unit;clean_light;minor_repairs,8,1385,dollars_per_unit,benchmark,Internal turn cost library (illustrative),internal_record,2026-03-18,2026-02-28,medium,starter,agent:turn_cost_agent,Standard turn A1 west.
utc-w-mm-garden-heavy-a1,unit_turn_cost,west,middle_market,garden,heavy,A1,paint_full_unit;carpet_replace_per_unit;clean_heavy;punch,14,2485,dollars_per_unit,benchmark,Internal turn cost library (illustrative),internal_record,2026-03-18,2026-02-28,medium,starter,agent:turn_cost_agent,Heavy turn A1 west.
utc-w-mm-garden-classic-a1,unit_turn_cost,west,middle_market,garden,classic_reno,A1,paint_full_unit;lvp_replace_unit;countertops_classic;hardware_swap;appliance_range_swap;clean_heavy,28,7350,dollars_per_unit,benchmark,Internal turn cost library (illustrative),internal_record,2026-03-18,2026-02-28,medium,starter,agent:turn_cost_agent,Classic reno A1 west.
